Code	Title	TitleEN	Disease_CMAUP	Disease_Category_CMAUP
1D6Y	其他特指的人畜共患病毒病	Other specified zoonotic viral diseases	COVID-19	01.Certain infectious or parasitic diseases
DA0E.8	颞下颌关节疾患	Temporomandibular joint disorders	Temporomandibular joint disorders	13.Diseases of the digestive system
1E51.1	慢性丙型肝炎	Chronic hepatitis C	Chronic hepatitis C	01.Certain infectious or parasitic diseases
AA80	急性浆液性或黏液性中耳炎	Acute serous or mucoid otitis media	Otitis media	10.Diseases of the ear or mastoid process
AB0Z	未特指的中耳炎	Otitis media, unspecified	Otitis media	10.Diseases of the ear or mastoid process
3A00	缺铁性贫血	Iron deficiency anaemia	Anemia	03.Diseases of the blood or blood-forming organs
3A9Z	贫血或红细胞疾患，未特指的	Anaemias or other erythrocyte disorders, unspecified	Anemia	03.Diseases of the blood or blood-forming organs
5B7Z	未特指的营养不良	Unspecified undernutrition	Unspecified undernutrition	05.Endocrine, nutritional or metabolic diseases
HA01.1	男性勃起功能障碍	Male erectile dysfunction	Male erectile dysfunction	17.Conditions related to sexual health
DC31	急性胰腺炎	Acute pancreatitis	Acute pancreatitis	13.Diseases of the digestive system
XM1A61	酒精饮料	Alcohol beverage	Alcohol beverage	X.Extension Codes
9B75	黄斑疾患	Macular disorders	Macular degeneration	09.Diseases of the visual system
1D65	严重急性呼吸综合征	Severe acute respiratory syndrome	Severe acute respiratory syndrome	01.Certain infectious or parasitic diseases
1F00	单纯疱疹病毒感染	Herpes simplex infections	Herpes simplex infection	01.Certain infectious or parasitic diseases
ME05.0	便秘	Constipation	Constipation	21.Symptoms, signs or clinical findings, not elsewhere classified
CA03.Y	其他特指的急性扁桃体炎	Other specified acute tonsillitis	Other specified acute tonsillitis	12.Diseases of the respiratory system
2B33.5	恶性淋巴瘤，不可归类在他处者	Malignant lymphoma, not elsewhere classified	Malignant lymphoma, not elsewhere classified	02.Neoplasms
XH4RQ3	神经胶质瘤，恶性	Glioma, malignant	Glioma, malignant	X.Extension Codes
DB98.B	肝脏缺血再灌注损伤	Ischaemia reperfusion injury of liver	Ischaemia reperfusion injury of liver	13.Diseases of the digestive system
DA02.1	口干燥症	Xerostomia	Xerostomia	13.Diseases of the digestive system
ME84.2	下背部疼痛	Low back pain	Low back pain	21.Symptoms, signs or clinical findings, not elsewhere classified
2A80	滤泡性淋巴瘤	Follicular lymphoma	Follicular lymphoma	02.Neoplasms
CA22	慢性阻塞性肺疾病	Chronic obstructive pulmonary disease	Chronic obstructive pulmonary disease	12.Diseases of the respiratory system
5C77	低钾血症	Hypokalaemia	Hypo-kalaemia	05.Endocrine, nutritional or metabolic diseases
8A04.1	特发性震颤或相关的震颤	Essential tremor or related tremors	Essential tremor or related tremors	08.Diseases of the nervous system
9E1Z	未特指的视觉系统疾病	Diseases of the visual system, unspecified	Diseases of the visual system, unspecified	09.Diseases of the visual system
1C62.Z	人类免疫缺陷病毒病未提及合并症，临床分期未特指	Human immunodeficiency virus disease without mention of tuberculosis or malaria, clinical stage unspecified	Human immunodeficiency virus disease without mention of associated disease or condition, clinical stage unspecified	01.Certain infectious or parasitic diseases
ED70	脱发	Alopecia or hair loss	Alopecia	14.Diseases of the skin
BA40.0	不稳定性心绞痛	Unstable angina	Unstable angina	11.Diseases of the circulatory system
XH96C7	星形细胞瘤，间变性	Astrocytoma, anaplastic	Astrocytoma, anaplastic	X.Extension Codes
2B60	唇恶性肿瘤	Malignant neoplasms of lip	Squamous cell carcinoma	02.Neoplasms
2D01	角膜恶性肿瘤	Malignant neoplasm of cornea	Squamous cell carcinoma	02.Neoplasms
GA34.3	痛经	Dysmenorrhoea	Dysmenorrhoea	16.Diseases of the genitourinary system
ED61.0	雀斑	Freckles	Freckles	14.Diseases of the skin
5B56.Z	未特指的维生素C缺乏	Vitamin C deficiency, unspecified	Vitamin C deficiency, unspecified	05.Endocrine, nutritional or metabolic diseases
MG40	休克	Shock	Shock	21.Symptoms, signs or clinical findings, not elsewhere classified
ND90	头部或颈部（除外面部）烧伤	Burn of head or neck except face	Burn and burn infection	22.Injury, poisoning or certain other consequences of external causes
NE2Z	未特指的烧伤	Burns, unspecified	Burn and burn infection	22.Injury, poisoning or certain other consequences of external causes
FB56	特指的软组织疾患，不可归类在他处者	Specified soft tissue disorders, not elsewhere classified	Soft tissue disorder	15.Diseases of the musculoskeletal system or connective tissue
6C40.2	酒精依赖	Alcohol dependence	Alcohol dependence	06.Mental, behavioural or neurodevelopmental disorders
MD90.0	恶心	Nausea	Nausea	21.Symptoms, signs or clinical findings, not elsewhere classified
MG30.04	复杂性区域性疼痛综合征	Complex regional pain syndrome	Complex regional pain syndrome	21.Symptoms, signs or clinical findings, not elsewhere classified
XH0453	真性红细胞增多症	Polycythaemia vera	Polycythaemia vera	X.Extension Codes
GC08	部位未特指的泌尿道感染	Urinary tract infection, site not specified	Urinary tract infection	16.Diseases of the genitourinary system
1H0Z	未特指的感染	Infection, unspecified	Infection, unspecified	01.Certain infectious or parasitic diseases
BA20	特发性低血压	Idiopathic hypotension	Hypotension	11.Diseases of the circulatory system
BA21	直立性低血压	Orthostatic hypotension	Hypotension	11.Diseases of the circulatory system
LB02	腹裂	Gastroschisis	Gastroschisis	20.Developmental anomalies
KA21.4Z	未特指的早产儿	Preterm newborn, unspecified	Preterm newborn, unspecified	19.Certain conditions originating in the perinatal period
BD10	充血性心力衰竭	Congestive heart failure	Congestive heart failure	11.Diseases of the circulatory system
2B30	霍奇金淋巴瘤	Hodgkin lymphoma	Hodgkin lymphoma	02.Neoplasms
SA60	感冒（TM1）	Common cold disorder (TM1)	Common cold disorder(TM1)	26.Supplementary Chapter Traditional Medicine Conditions - Module I
5B80	超重或局部多脂症	Overweight or localised adiposity	Obesity	05.Endocrine, nutritional or metabolic diseases
5B81	肥胖症	Obesity	Obesity	05.Endocrine, nutritional or metabolic diseases
8A03.10	弗里德赖希共济失调	Friedreich ataxia	Friedreich ataxia	08.Diseases of the nervous system
2F95	乳房生物学行为未知的肿瘤	Neoplasms of unknown behaviour of breast	Neoplasms of unknown behaviour of breast	02.Neoplasms
DC31	急性胰腺炎	Acute pancreatitis	Pancreatitis	13.Diseases of the digestive system
DC34	阻塞性胰腺炎	Obstructive pancreatitis	Pancreatitis	13.Diseases of the digestive system
BA21	直立性低血压	Orthostatic hypotension	Orthostatic hypotension	11.Diseases of the circulatory system
5A40.Z	未特指的中间型高血糖	Intermediate hyperglycaemia, unspecified	Intermediate hyperglycaemia, unspecified	05.Endocrine, nutritional or metabolic diseases
CA25	囊性纤维化	Cystic fibrosis	Cystic fibrosis	12.Diseases of the respiratory system
MF3A	阴道分泌物	Vaginal discharge	Vaginal discharge	21.Symptoms, signs or clinical findings, not elsewhere classified
3A50.2	β地中海贫血	Beta thalassaemia	Beta thalassaemia	03.Diseases of the blood or blood-forming organs
8C03.0	糖尿病性多神经病	Diabetic polyneuropathy	Diabetic polyneuropathy	08.Diseases of the nervous system
XH4W48	肝细胞癌，NOS	Hepatocellular carcinoma, NOS	Hepatocellular carcinoma, NOS	X.Extension Codes
NA07.Z	未特指的颅内损伤	Intracranial injury, unspecified	Intracranial injury, unspecified	22.Injury, poisoning or certain other consequences of external causes
2D4Z	未特指部位的未特指的恶性肿瘤	Unspecified malignant neoplasms of unspecified sites	Unspecified malignant neoplasms of unspecified sites	02.Neoplasms
2B90.Y	其他特指的结肠恶性肿瘤	Other specified malignant neoplasms of colon	Other specified malignant neoplasms of colon	02.Neoplasms
2D40	未特指部位的腺癌	Adenocarcinoma of unspecified site	Adenocarcinoma	02.Neoplasms
8C70.0	Becker肌营养不良	Becker muscular dystrophy	Becker muscular dystrophy	08.Diseases of the nervous system
3B64.10	免疫性血小板减少性紫癜	Immune thrombocytopenic purpura	Immune thrombocytopenic purpura	03.Diseases of the blood or blood-forming organs
FA00	髋关节骨关节炎	Osteoarthritis of hip	Osteoarthritis	15.Diseases of the musculoskeletal system or connective tissue
FA05	多关节型关节炎	Polyosteoarthritis	Osteoarthritis	15.Diseases of the musculoskeletal system or connective tissue
5A01.1	非毒性单个甲状腺结节	Nontoxic single thyroid nodule	Nontoxic single thyroid nodule	05.Endocrine, nutritional or metabolic diseases
DA41.00	胃轻瘫	Gastroparesis	Gastroparesis	13.Diseases of the digestive system
6A7Z	未特指的抑郁障碍	Depressive disorders, unspecified	Depressive disorders, unspecified	06.Mental, behavioural or neurodevelopmental disorders
DA01	口腔黏膜疾患	Disorders of oral mucosa	Oral mucositis	13.Diseases of the digestive system
MC82	心脏停搏	Cardiac arrest	Cardiac arrest	21.Symptoms, signs or clinical findings, not elsewhere classified
MG27	出血，不可归类在他处者	Haemorrhage, not elsewhere classified	Haemorrhage, not elsewhere classified	21.Symptoms, signs or clinical findings, not elsewhere classified
2B92	直肠恶性肿瘤	Malignant neoplasms of rectum	Rectum cancer	02.Neoplasms
ME84	脊柱痛	Spinal pain	Spinal pain	21.Symptoms, signs or clinical findings, not elsewhere classified
6A05	注意缺陷多动障碍	Attention deficit hyperactivity disorder	Attention deficit hyperactivity disorder	06.Mental, behavioural or neurodevelopmental disorders
MG43.7	纳差	Anorexia	Anorexia	21.Symptoms, signs or clinical findings, not elsewhere classified
8A40.0	复发缓解型多发性硬化	Relapsing-remitting multiple sclerosis	Relapsing-remitting multiple sclerosis	08.Diseases of the nervous system
JA43	产后出血	Postpartum haemorrhage	Postpartum haemorrhage	18.Pregnancy, childbirth or the puerperium
3A00	缺铁性贫血	Iron deficiency anaemia	Iron deficiency anaemia	03.Diseases of the blood or blood-forming organs
2C94.Z	未特指的膀胱恶性肿瘤	Malignant neoplasms of bladder, unspecified	Malignant neoplasms of bladder, unspecified	02.Neoplasms
6C41	大麻素类物质使用所致障碍	Disorders due to use of cannabis	Cannabis use disorder	06.Mental, behavioural or neurodevelopmental disorders
MD12	咳嗽	Cough	Cough	21.Symptoms, signs or clinical findings, not elsewhere classified
XH5YN0	先天性黑色素细胞痣NOS	Congenital melanocytic naevus, NOS	Congenital melanocytic naevus, NOS	X.Extension Codes
MD90	恶心或呕吐	Nausea or vomiting	Nausea/vomiting	21.Symptoms, signs or clinical findings, not elsewhere classified
MG2A	衰老相关性内在能力减退	Ageing associated decline in intrinsic capacity	Ageing associated decline in intrinsic capacity	21.Symptoms, signs or clinical findings, not elsewhere classified
LD41.G1	17号染色体短臂重复	Duplications of the short arm of chromosome 17	Duplications of the short arm of chromosome 17	20.Developmental anomalies
DA22	胃-食管反流病	Gastro-oesophageal reflux disease	Gastro-oesophageal reflux disease	13.Diseases of the digestive system
BD74	慢性下肢外周静脉功能不全	Chronic peripheral venous insufficiency of lower extremities	Varicose veins	11.Diseases of the circulatory system
BD75	下肢以外部位的静脉曲张	Venous varicosities of sites other than lower extremity	Varicose veins	11.Diseases of the circulatory system
MA15.0	菌血症	Bacteraemia	Bacteraemia	21.Symptoms, signs or clinical findings, not elsewhere classified
9A60.02	变应性结膜炎	Allergic conjunctivitis	Allergic conjunctivitis	09.Diseases of the visual system
DA91	小肠梗阻	Obstruction of small intestine	Postoperative ileus	13.Diseases of the digestive system
DB30	大肠梗阻	Obstruction of large intestine	Postoperative ileus	13.Diseases of the digestive system
1D01.0	细菌性脑膜炎	Bacterial meningitis	Bacterial meningitis	01.Certain infectious or parasitic diseases
2C32	皮肤基底细胞癌	Basal cell carcinoma of skin	Basal cell carcinoma	02.Neoplasms
ED90.1	口周皮炎	Periorificial dermatitis	Periorificial dermatitis	14.Diseases of the skin
2B70	食管恶性肿瘤	Malignant neoplasms of oesophagus	Malignant neoplasms of oesophagus	02.Neoplasms
8A04	与震颤有关的疾病	Disorders associated with tremor	Central nervous system disease	08.Diseases of the nervous system
8D87	某些特指的神经变性疾患引起的自主神经系统疾患	Autonomic nervous system disorder due to certain specified neurodegenerative disorder	Central nervous system disease	08.Diseases of the nervous system
5A40.1	糖耐量减低	Impaired glucose tolerance	Impaired glucose tolerance	05.Endocrine, nutritional or metabolic diseases
MD11.1	窒息	Asphyxia	Asphyxia	21.Symptoms, signs or clinical findings, not elsewhere classified
ND51.2	脊髓损伤，水平未特指	Injury of spinal cord, level unspecified	Injury of spinal cord, level unspecified	22.Injury, poisoning or certain other consequences of external causes
9B71.3	早产儿视网膜病变	Retinopathy of prematurity	Retinopathy of prematurity	09.Diseases of the visual system
JA24	子痫前期	Pre-eclampsia	Pre-eclampsia	18.Pregnancy, childbirth or the puerperium
XH85Z0	成神经细胞瘤NOS	Neuroblastoma, NOS	Neuroblastoma, NOS	X.Extension Codes
MF55	多尿	Polyuria	Polyuria	21.Symptoms, signs or clinical findings, not elsewhere classified
4B00	中性粒细胞数量异常	Disorders of neutrophil number	Neutropenia	04.Diseases of the immune system
5C70.1	血容量减少	Hypovolaemia	Hypovolaemia	05.Endocrine, nutritional or metabolic diseases
3A70.0	先天性再生障碍性贫血	Congenital aplastic anaemia	Congenital aplastic anaemia	03.Diseases of the blood or blood-forming organs
LB53	尿道下裂	Hypospadias	Hypospadias	20.Developmental anomalies
5A41	非糖尿病性低血糖	Hypoglycaemia without associated diabetes	Hypoglycaemia without associated diabetes	05.Endocrine, nutritional or metabolic diseases
2B66	口腔其他或未特指部位的恶性肿瘤	Malignant neoplasms of other or unspecified parts of mouth	Malignant neoplasms of other or unspecified parts of mouth	02.Neoplasms
4A42	系统性硬化症	Systemic sclerosis	Systemic sclerosis	04.Diseases of the immune system
DB92.Y	其他特指的非酒精性脂肪性肝病	Other specified non-alcoholic fatty liver disease	Other specified non-alcoholic fatty liver disease	13.Diseases of the digestive system
BC71.0	室性心动过速	Ventricular tachycardia	Ventricular tachycardia	11.Diseases of the circulatory system
